country,year,gdp,renewables_share_energy
China,2000,5952682232028.0,5.335687637329102
China,2001,6329737256820.0,6.251406669616699
China,2002,6814493895929.0,5.921866893768311
China,2003,7248623080792.0,5.001338958740234
China,2004,7830953177799.0,5.289434909820557
China,2005,8602939667333.0,5.238741397857666
China,2006,9489543138489.0,5.266756057739258
China,2007,10358206113742.0,5.406529426574707
China,2008,10799148337884.0,6.8724212646484375
China,2009,11572544299171.0,6.559854984283447
China,2010,12858808500983.0,7.194703578948975
China,2011,13691526496125.0,6.6967644691467285
China,2012,14773157494771.0,8.067560195922852
China,2013,15925464549520.0,8.473828315734863
China,2014,17103948867278.0,9.689675331115724
China,2015,18301224436466.0,10.277580261230469
China,2016,19545709173693.0,11.113144874572754
China,2017,20894362082435.0,11.66563892364502
China,2018,22294284747546.0,12.224382400512695
China,2019,23631941251482.0,12.785955429077148
China,2020,24151843898871.0,13.395745277404783
China,2021,26180600167672.0,14.195034980773926
China,2022,26966016991166.0,15.217976570129396
China,2023,,15.505326271057127
United States,2000,12947417795437.0,3.855929374694824
United States,2001,13073810008320.0,3.28743314743042
United States,2002,13307343638671.0,3.850827693939209
United States,2003,13680911930765.0,4.012036323547363
United States,2004,14198910513593.0,3.944401502609253
United States,2005,14673826218839.0,4.055190563201904
United States,2006,15065164240312.0,4.501955986022949
United States,2007,15333183877566.0,4.222331523895264
United States,2008,15288552732632.0,4.832541465759277
United States,2009,14864003344421.0,5.601161003112793
United States,2010,15239586726210.0,5.641783714294434
United States,2011,15477885525000.0,6.652554035186768
United States,2012,15830886903539.0,6.652078628540039
United States,2013,16122472460312.0,6.8875813484191895
United States,2014,16491319003554.0,7.0149126052856445
United States,2015,16937633974582.0,7.219233989715576
United States,2016,17220065720000.0,7.99330997467041
United States,2017,17606124654726.0,8.75450325012207
United States,2018,18124692769570.0,8.639647483825684
United States,2019,18540552700117.0,8.966625213623047
United States,2020,18027359681343.0,10.12306022644043
United States,2021,19099378164000.0,10.115880966186523
United States,2022,19493170182843.0,10.874505996704102
United States,2023,,11.212398529052734
